winnerteamid,localtime,tz,date,id,agoals,hteam,ateam,hgoals,updated,is_grand_final,abehinds,complete,ateamid,hteamid,roundname,hbehinds,unixtime,venue,winner,ascore,round,year,is_final,hscore,timestr,season
16.0,2010-04-17 14:10:00,+10:00,2010-04-17 14:10:00,8885,14,North Melbourne,Sydney,8,2022-01-25 11:05:42,0,16,100,16,12,Round 4,12,1271477400,Docklands,Sydney,100,4,2010,0,60,Full Time,2010
3.0,2010-04-17 14:10:00,+10:00,2010-04-17 14:40:00,8886,16,Adelaide,Carlton,6,2022-01-25 11:05:42,0,7,100,3,1,Round 4,19,1271479200,Football Park,Carlton,103,4,2010,0,55,Full Time,2010
2.0,2010-04-17 19:10:00,+10:00,2010-04-17 19:10:00,8888,12,Brisbane Lions,Western Bulldogs,13,2022-01-25 11:05:42,0,7,100,18,2,Round 4,23,1271495400,Gabba,Brisbane Lions,79,4,2010,0,101,Full Time,2010
4.0,2010-04-17 19:10:00,+10:00,2010-04-17 19:10:00,8887,8,Collingwood,Hawthorn,17,2022-01-25 11:05:42,0,11,100,10,4,Round 4,21,1271495400,M.C.G.,Collingwood,59,4,2010,0,123,Full Time,2010
11.0,2010-04-18 13:10:00,+10:00,2010-04-18 13:10:00,8889,20,Richmond,Melbourne,11,2022-01-25 11:05:42,0,13,100,11,14,Round 4,12,1271560200,M.C.G.,Melbourne,133,4,2010,0,78,Full Time,2010
7.0,2010-04-18 14:10:00,+10:00,2010-04-18 14:10:00,8890,10,Geelong,Port Adelaide,23,2022-01-25 11:05:42,0,4,100,13,7,Round 4,21,1271563800,Kardinia Park,Geelong,64,4,2010,0,159,Full Time,2010
15.0,2010-04-18 16:40:00,+10:00,2010-04-18 16:40:00,8891,14,St Kilda,Fremantle,16,2022-01-25 11:05:42,0,9,100,6,15,Round 4,12,1271572800,Docklands,St Kilda,93,4,2010,0,108,Full Time,2010
18.0,2010-04-23 19:40:00,+10:00,2010-04-23 19:40:00,8892,10,Western Bulldogs,Adelaide,18,2022-01-25 11:05:42,0,12,100,1,18,Round 5,13,1272015600,Docklands,Western Bulldogs,72,5,2010,0,121,Full Time,2010
16.0,2010-04-24 14:15:00,+10:00,2010-04-24 14:15:00,8893,9,Sydney,West Coast,17,2022-01-25 11:05:42,0,9,100,17,16,Round 5,13,1272082500,S.C.G.,Sydney,63,5,2010,0,115,Full Time,2010
11.0,2010-04-24 19:10:00,+10:00,2010-04-24 19:10:00,8894,7,Melbourne,Brisbane Lions,15,2022-01-25 11:05:42,0,11,100,2,11,Round 5,13,1272100200,M.C.G.,Melbourne,53,5,2010,0,103,Full Time,2010
13.0,2010-04-24 18:45:00,+10:00,2010-04-24 19:15:00,8895,6,Port Adelaide,St Kilda,7,2022-01-25 11:05:42,0,8,100,15,13,Round 5,12,1272100500,Football Park,Port Adelaide,44,5,2010,0,54,Full Time,2010
4.0,2010-04-25 14:40:00,+10:00,2010-04-25 14:40:00,8896,8,Collingwood,Essendon,18,2022-01-25 11:05:42,0,7,100,5,4,Round 5,12,1272170400,M.C.G.,Collingwood,55,5,2010,0,120,Full Time,2010
12.0,2010-04-25 17:40:00,+10:00,2010-04-25 17:40:00,8897,12,Hawthorn,North Melbourne,10,2022-01-25 11:05:42,0,10,100,12,10,Round 5,10,1272181200,York Park,North Melbourne,82,5,2010,0,70,Full Time,2010
6.0,2010-04-25 16:45:00,+10:00,2010-04-25 18:45:00,8898,11,Fremantle,Richmond,15,2022-01-25 11:05:42,0,7,100,14,6,Round 5,22,1272185100,Subiaco,Fremantle,73,5,2010,0,112,Full Time,2010
3.0,2010-04-26 14:10:00,+10:00,2010-04-26 14:10:00,8899,9,Carlton,Geelong,15,2022-01-25 11:05:42,0,14,100,7,3,Round 5,14,1272255000,M.C.G.,Carlton,68,5,2010,0,104,Full Time,2010
15.0,2010-04-30 19:40:00,+10:00,2010-04-30 19:40:00,8900,7,Western Bulldogs,St Kilda,6,2022-01-25 11:05:42,0,7,100,15,18,Round 6,10,1272620400,Docklands,St Kilda,49,6,2010,0,46,Full Time,2010
12.0,2010-05-01 14:10:00,+10:00,2010-05-01 14:10:00,8901,12,North Melbourne,Melbourne,15,2022-01-25 11:05:42,0,6,100,11,12,Round 6,14,1272687000,Docklands,North Melbourne,78,6,2010,0,104,Full Time,2010
13.0,2010-05-01 14:10:00,+10:00,2010-05-01 14:40:00,8902,14,Adelaide,Port Adelaide,10,2022-01-25 11:05:42,0,13,100,13,1,Round 6,14,1272688800,Football Park,Port Adelaide,97,6,2010,0,74,Full Time,2010
5.0,2010-05-01 19:10:00,+10:00,2010-05-01 19:10:00,8903,9,Essendon,Hawthorn,15,2022-01-25 11:05:42,0,9,100,10,5,Round 6,16,1272705000,M.C.G.,Essendon,63,6,2010,0,106,Full Time,2010
16.0,2010-05-01 19:10:00,+10:00,2010-05-01 19:10:00,8904,13,Sydney,Brisbane Lions,16,2022-01-25 11:05:42,0,9,100,2,16,Round 6,11,1272705000,S.C.G.,Sydney,87,6,2010,0,107,Full Time,2010
7.0,2010-05-02 13:10:00,+10:00,2010-05-02 13:10:00,8905,7,Geelong,Richmond,24,2022-01-25 11:05:42,0,11,100,14,7,Round 6,17,1272769800,Kardinia Park,Geelong,53,6,2010,0,161,Full Time,2010
4.0,2010-05-02 14:10:00,+10:00,2010-05-02 14:10:00,8906,24,Carlton,Collingwood,16,2022-01-25 11:05:42,0,11,100,4,3,Round 6,6,1272773400,M.C.G.,Collingwood,155,6,2010,0,102,Full Time,2010
6.0,2010-05-02 12:40:00,+10:00,2010-05-02 14:40:00,8907,17,West Coast,Fremantle,10,2022-01-25 11:05:42,0,9,100,6,17,Round 6,13,1272775200,Subiaco,Fremantle,111,6,2010,0,73,Full Time,2010
18.0,2010-05-07 19:40:00,+10:00,2010-05-07 19:40:00,8908,10,Melbourne,Western Bulldogs,9,2022-01-25 11:05:42,0,10,100,18,11,Round 7,12,1273225200,M.C.G.,Western Bulldogs,70,7,2010,0,66,Full Time,2010
17.0,2010-05-08 11:10:00,+10:00,2010-05-08 13:10:00,8910,14,West Coast,Hawthorn,15,2022-01-25 11:05:42,0,10,100,10,17,Round 7,12,1273288200,Subiaco,West Coast,94,7,2010,0,102,Full Time,2010
13.0,2010-05-08 14:10:00,+10:00,2010-05-08 14:10:00,8909,17,Essendon,Port Adelaide,16,2022-01-25 11:05:42,0,7,100,13,5,Round 7,10,1273291800,Docklands,Port Adelaide,109,7,2010,0,106,Full Time,2010
6.0,2010-05-08 19:10:00,+10:00,2010-05-08 19:10:00,8912,15,Brisbane Lions,Fremantle,15,2022-01-25 11:05:42,0,23,100,6,2,Round 7,10,1273309800,Gabba,Fremantle,113,7,2010,0,100,Full Time,2010
4.0,2010-05-08 19:10:00,+10:00,2010-05-08 19:10:00,8911,14,Collingwood,North Melbourne,23,2022-01-25 11:05:42,0,7,100,12,4,Round 7,19,1273309800,M.C.G.,Collingwood,91,7,2010,0,157,Full Time,2010
7.0,2010-05-09 13:10:00,+10:00,2010-05-09 13:10:00,8913,9,Geelong,Sydney,19,2022-01-25 11:05:42,0,5,100,16,7,Round 7,12,1273374600,Kardinia Park,Geelong,59,7,2010,0,126,Full Time,2010
1.0,2010-05-09 15:40:00,+10:00,2010-05-09 16:10:00,8914,7,Adelaide,Richmond,15,2022-01-25 11:05:42,0,12,100,14,1,Round 7,14,1273385400,Football Park,Adelaide,54,7,2010,0,104,Full Time,2010
3.0,2010-05-10 19:20:00,+10:00,2010-05-10 19:20:00,8915,20,St Kilda,Carlton,9,2022-01-25 11:05:42,0,9,100,3,15,Round 7,14,1273483200,Docklands,Carlton,129,7,2010,0,68,Full Time,2010
4.0,2010-05-14 16:40:00,+10:00,2010-05-14 18:40:00,8916,20,Fremantle,Collingwood,15,2022-01-25 11:05:42,0,13,100,4,6,Round 8,7,1273826400,Subiaco,Collingwood,133,8,2010,0,97,Full Time,2010
17.0,2010-05-15 14:10:00,+10:00,2010-05-15 14:10:00,8918,10,Melbourne,West Coast,6,2022-01-25 11:05:42,0,15,100,17,11,Round 8,10,1273896600,M.C.G.,West Coast,75,8,2010,0,46,Full Time,2010
18.0,2010-05-15 14:10:00,+10:00,2010-05-15 14:10:00,8917,9,Western Bulldogs,Sydney,14,2022-01-25 11:05:42,0,9,100,16,18,Round 8,17,1273896600,Manuka Oval,Western Bulldogs,63,8,2010,0,101,Full Time,2010
7.0,2010-05-15 19:10:00,+10:00,2010-05-15 19:10:00,8920,24,Brisbane Lions,Geelong,10,2022-01-25 11:05:42,0,11,100,7,2,Round 8,14,1273914600,Gabba,Geelong,155,8,2010,0,74,Full Time,2010
12.0,2010-05-15 19:10:00,+10:00,2010-05-15 19:10:00,8919,11,North Melbourne,Adelaide,12,2022-01-25 11:05:42,0,9,100,1,12,Round 8,12,1273914600,Docklands,North Melbourne,75,8,2010,0,84,Full Time,2010
10.0,2010-05-16 13:10:00,+10:00,2010-05-16 13:10:00,8921,13,Richmond,Hawthorn,13,2022-01-25 11:05:42,0,11,100,10,14,Round 8,8,1273979400,M.C.G.,Hawthorn,89,8,2010,0,86,Full Time,2010
3.0,2010-05-16 14:10:00,+10:00,2010-05-16 14:40:00,8922,17,Port Adelaide,Carlton,14,2022-01-25 11:05:42,0,16,100,3,13,Round 8,8,1273984800,Football Park,Carlton,118,8,2010,0,92,Full Time,2010
5.0,2010-05-16 16:40:00,+10:00,2010-05-16 16:40:00,8923,14,St Kilda,Essendon,11,2022-01-25 11:05:42,0,9,100,5,15,Round 8,15,1273992000,Docklands,Essendon,93,8,2010,0,81,Full Time,2010
7.0,2010-05-21 19:40:00,+10:00,2010-05-21 19:40:00,8924,12,Collingwood,Geelong,6,2022-01-25 11:05:42,0,14,100,7,4,Round 9,14,1274434800,M.C.G.,Geelong,86,9,2010,0,50,Full Time,2010
18.0,2010-05-22 14:10:00,+10:00,2010-05-22 14:10:00,8925,20,North Melbourne,Western Bulldogs,7,2022-01-25 11:05:42,0,7,100,18,12,Round 9,15,1274501400,Docklands,Western Bulldogs,127,9,2010,0,57,Full Time,2010
6.0,2010-05-22 14:10:00,+10:00,2010-05-22 14:10:00,8926,14,Sydney,Fremantle,9,2022-01-25 11:05:42,0,16,100,6,16,Round 9,9,1274501400,S.C.G.,Fremantle,100,9,2010,0,63,Full Time,2010
11.0,2010-05-22 18:40:00,+10:00,2010-05-22 19:10:00,8927,16,Melbourne,Port Adelaide,17,2022-01-25 11:05:42,0,14,100,13,11,Round 9,9,1274519400,Marrara Oval,Melbourne,110,9,2010,0,111,Full Time,2010
5.0,2010-05-22 19:45:00,+10:00,2010-05-22 19:45:00,8928,14,Essendon,Richmond,19,2022-01-25 11:05:42,0,11,100,14,5,Round 9,16,1274521500,M.C.G.,Essendon,95,9,2010,0,130,Full Time,2010
1.0,2010-05-23 12:10:00,+10:00,2010-05-23 12:40:00,8929,11,Adelaide,Brisbane Lions,13,2022-01-25 11:05:42,0,15,100,2,1,Round 9,15,1274582400,Football Park,Adelaide,81,9,2010,0,93,Full Time,2010
10.0,2010-05-23 14:10:00,+10:00,2010-05-23 14:10:00,8930,16,Carlton,Hawthorn,8,2022-01-25 11:05:42,0,14,100,10,3,Round 9,12,1274587800,Docklands,Hawthorn,110,9,2010,0,60,Full Time,2010
15.0,2010-05-23 12:40:00,+10:00,2010-05-23 14:40:00,8931,13,West Coast,St Kilda,8,2022-01-25 11:05:42,0,13,100,15,17,Round 9,8,1274589600,Subiaco,St Kilda,91,9,2010,0,56,Full Time,2010
5.0,2010-05-28 19:40:00,+10:00,2010-05-28 19:40:00,8932,14,Essendon,Western Bulldogs,15,2022-01-25 11:05:42,0,6,100,18,5,Round 10,9,1275039600,Docklands,Essendon,90,10,2010,0,99,Full Time,2010
7.0,2010-05-29 14:10:00,+10:00,2010-05-29 14:10:00,8933,10,Geelong,Melbourne,18,2022-01-25 11:05:42,0,7,100,11,7,Round 10,13,1275106200,Kardinia Park,Geelong,67,10,2010,0,121,Full Time,2010
14.0,2010-05-29 14:10:00,+10:00,2010-05-29 14:40:00,8934,10,Port Adelaide,Richmond,3,2022-01-25 11:05:42,0,17,100,14,13,Round 10,12,1275108000,Football Park,Richmond,77,10,2010,0,30,Full Time,2010
2.0,2010-05-29 19:10:00,+10:00,2010-05-29 19:10:00,8936,11,Brisbane Lions,Collingwood,13,2022-01-25 11:05:42,0,14,100,4,2,Round 10,10,1275124200,Gabba,Brisbane Lions,80,10,2010,0,88,Full Time,2010
15.0,2010-05-29 19:10:00,+10:00,2010-05-29 19:10:00,8935,12,St Kilda,Adelaide,19,2022-01-25 11:05:42,0,4,100,1,15,Round 10,9,1275124200,Docklands,St Kilda,76,10,2010,0,123,Full Time,2010
10.0,2010-05-30 13:10:00,+10:00,2010-05-30 13:10:00,8937,11,Hawthorn,Sydney,10,2022-01-25 11:05:42,0,11,100,16,10,Round 10,19,1275189000,M.C.G.,Hawthorn,77,10,2010,0,79,Full Time,2010
3.0,2010-05-30 14:10:00,+10:00,2010-05-30 14:10:00,8938,11,Carlton,West Coast,15,2022-01-25 11:05:42,0,10,100,17,3,Round 10,15,1275192600,Docklands,Carlton,76,10,2010,0,105,Full Time,2010
6.0,2010-05-30 12:40:00,+10:00,2010-05-30 14:40:00,8939,11,Fremantle,North Melbourne,21,2022-01-25 11:05:42,0,12,100,12,6,Round 10,13,1275194400,Subiaco,Fremantle,78,10,2010,0,139,Full Time,2010
15.0,2010-06-04 19:40:00,+10:00,2010-06-04 19:40:00,8940,14,Richmond,St Kilda,8,2022-01-25 11:05:42,0,13,100,15,14,Round 11,11,1275644400,Docklands,St Kilda,97,11,2010,0,59,Full Time,2010
3.0,2010-06-05 14:10:00,+10:00,2010-06-05 14:10:00,8941,9,Carlton,Melbourne,15,2022-01-25 11:05:42,0,6,100,11,3,Round 11,11,1275711000,M.C.G.,Carlton,60,11,2010,0,101,Full Time,2010
1.0,2010-06-05 14:10:00,+10:00,2010-06-05 14:40:00,8942,12,Adelaide,Fremantle,16,2022-01-25 11:05:42,0,10,100,6,1,Round 11,9,1275712800,Football Park,Adelaide,82,11,2010,0,105,Full Time,2010
7.0,2010-06-05 15:40:00,+10:00,2010-06-05 17:40:00,8944,18,West Coast,Geelong,14,2022-01-25 11:05:42,0,14,100,7,17,Round 11,14,1275723600,Subiaco,Geelong,122,11,2010,0,98,Full Time,2010
12.0,2010-06-05 19:10:00,+10:00,2010-06-05 19:10:00,8943,13,North Melbourne,Brisbane Lions,12,2022-01-25 11:05:42,0,11,100,2,12,Round 11,18,1275729000,Docklands,North Melbourne,89,11,2010,0,90,Full Time,2010
16.0,2010-06-06 13:10:00,+10:00,2010-06-06 13:10:00,8945,12,Sydney,Essendon,12,2022-01-25 11:05:42,0,8,100,5,16,Round 11,17,1275793800,S.C.G.,Sydney,80,11,2010,0,89,Full Time,2010
10.0,2010-06-06 14:10:00,+10:00,2010-06-06 14:10:00,8946,8,Hawthorn,Port Adelaide,10,2022-01-25 11:05:42,0,15,100,13,10,Round 11,14,1275797400,M.C.G.,Hawthorn,63,11,2010,0,74,Full Time,2010
4.0,2010-06-06 16:40:00,+10:00,2010-06-06 16:40:00,8947,16,Collingwood,Western Bulldogs,17,2022-01-25 11:05:42,0,7,100,18,4,Round 11,11,1275806400,Docklands,Collingwood,103,11,2010,0,113,Full Time,2010
12.0,2010-06-11 19:40:00,+10:00,2010-06-11 19:40:00,8948,10,North Melbourne,Carlton,14,2022-01-25 11:05:42,0,8,100,3,12,Round 12,13,1276249200,Docklands,North Melbourne,68,12,2010,0,97,Full Time,2010
10.0,2010-06-12 14:10:00,+10:00,2010-06-12 14:10:00,8949,11,Hawthorn,Adelaide,19,2022-01-25 11:05:42,0,11,100,1,10,Round 12,10,1276315800,York Park,Hawthorn,77,12,2010,0,124,Full Time,2010
7.0,2010-06-12 19:10:00,+10:00,2010-06-12 19:10:00,8950,23,Essendon,Geelong,12,2022-01-25 11:05:42,0,16,100,7,5,Round 12,11,1276333800,Docklands,Geelong,154,12,2010,0,83,Full Time,2010
16.0,2010-06-12 18:40:00,+10:00,2010-06-12 19:10:00,8951,14,Port Adelaide,Sydney,8,2022-01-25 11:05:42,0,9,100,16,13,Round 12,7,1276333800,Football Park,Sydney,93,12,2010,0,55,Full Time,2010
14.0,2010-06-13 13:10:00,+10:00,2010-06-13 13:10:00,8952,11,Richmond,West Coast,19,2022-01-25 11:05:42,0,11,100,17,14,Round 12,12,1276398600,M.C.G.,Richmond,77,12,2010,0,126,Full Time,2010
18.0,2010-06-13 14:10:00,+10:00,2010-06-13 14:10:00,8953,8,Western Bulldogs,Brisbane Lions,17,2022-01-25 11:05:42,0,8,100,2,18,Round 12,19,1276402200,Docklands,Western Bulldogs,56,12,2010,0,121,Full Time,2010
15.0,2010-06-13 12:40:00,+10:00,2010-06-13 14:40:00,8954,12,Fremantle,St Kilda,10,2022-01-25 11:05:42,0,13,100,15,6,Round 12,7,1276404000,Subiaco,St Kilda,85,12,2010,0,67,Full Time,2010
,2010-06-14 14:10:00,+10:00,2010-06-14 14:10:00,8955,9,Melbourne,Collingwood,11,2022-01-25 11:05:42,0,22,100,4,11,Round 12,10,1276488600,M.C.G.,,76,12,2010,0,76,Full Time,2010
10.0,2010-06-18 19:40:00,+10:00,2010-06-18 19:40:00,8956,13,Hawthorn,Essendon,14,2022-01-25 11:05:42,0,8,100,5,10,Round 13,18,1276854000,M.C.G.,Hawthorn,86,13,2010,0,102,Full Time,2010
14.0,2010-06-19 19:10:00,+10:00,2010-06-19 19:10:00,8958,15,Brisbane Lions,Richmond,12,2022-01-25 11:05:42,0,15,100,14,2,Round 13,14,1276938600,Gabba,Richmond,105,13,2010,0,86,Full Time,2010
6.0,2010-06-19 19:10:00,+10:00,2010-06-19 19:10:00,8957,14,Carlton,Fremantle,12,2022-01-25 11:05:42,0,12,100,6,3,Round 13,15,1276938600,Docklands,Fremantle,96,13,2010,0,87,Full Time,2010
12.0,2010-06-20 13:10:00,+10:00,2010-06-20 13:10:00,8959,14,North Melbourne,Port Adelaide,19,2022-01-25 11:05:42,0,9,100,13,12,Round 13,15,1277003400,Docklands,North Melbourne,93,13,2010,0,129,Full Time,2010
18.0,2010-06-20 12:40:00,+10:00,2010-06-20 14:40:00,8960,17,West Coast,Western Bulldogs,9,2022-01-25 11:05:42,0,17,100,18,17,Round 13,5,1277008800,Subiaco,Western Bulldogs,119,13,2010,0,59,Full Time,2010
15.0,2010-06-25 19:50:00,+10:00,2010-06-25 19:50:00,8961,6,St Kilda,Geelong,10,2022-01-25 11:05:42,0,10,100,7,15,Round 13,10,1277459400,M.C.G.,St Kilda,46,13,2010,0,70,Full Time,2010
4.0,2010-06-26 19:10:00,+10:00,2010-06-26 19:10:00,8962,13,Sydney,Collingwood,10,2022-01-25 11:05:42,0,18,100,4,16,Round 13,11,1277543400,Stadium Australia,Collingwood,96,13,2010,0,71,Full Time,2010
1.0,2010-06-27 14:10:00,+10:00,2010-06-27 14:40:00,8963,11,Adelaide,Melbourne,16,2022-01-25 11:05:42,0,7,100,11,1,Round 13,21,1277613600,Football Park,Adelaide,73,13,2010,0,117,Full Time,2010
3.0,2010-07-01 19:10:00,+10:00,2010-07-01 19:10:00,8964,9,Carlton,Brisbane Lions,18,2022-01-25 11:05:42,0,11,100,2,3,Round 14,12,1277975400,Docklands,Carlton,65,14,2010,0,120,Full Time,2010
10.0,2010-07-02 19:40:00,+10:00,2010-07-02 19:40:00,8965,11,Hawthorn,Western Bulldogs,12,2022-01-25 11:05:42,0,10,100,18,10,Round 14,7,1278063600,M.C.G.,Hawthorn,76,14,2010,0,79,Full Time,2010
6.0,2010-07-03 11:10:00,+10:00,2010-07-03 13:10:00,8966,8,Fremantle,Port Adelaide,17,2022-01-25 11:05:42,0,10,100,13,6,Round 14,13,1278126600,Subiaco,Fremantle,58,14,2010,0,115,Full Time,2010
1.0,2010-07-03 18:40:00,+10:00,2010-07-03 19:10:00,8968,5,Adelaide,Essendon,19,2022-01-25 11:05:42,0,10,100,5,1,Round 14,10,1278148200,Football Park,Adelaide,40,14,2010,0,124,Full Time,2010
4.0,2010-07-03 19:10:00,+10:00,2010-07-03 19:10:00,8967,7,Collingwood,West Coast,20,2022-01-25 11:05:42,0,10,100,17,4,Round 14,15,1278148200,Docklands,Collingwood,52,14,2010,0,135,Full Time,2010
7.0,2010-07-04 13:10:00,+10:00,2010-07-04 13:10:00,8969,9,Geelong,North Melbourne,14,2022-01-25 11:05:42,0,9,100,12,7,Round 14,14,1278213000,Kardinia Park,Geelong,63,14,2010,0,98,Full Time,2010
14.0,2010-07-04 14:10:00,+10:00,2010-07-04 14:10:00,8970,12,Richmond,Sydney,14,2022-01-25 11:05:42,0,13,100,16,14,Round 14,5,1278216600,M.C.G.,Richmond,85,14,2010,0,89,Full Time,2010
15.0,2010-07-04 16:40:00,+10:00,2010-07-04 16:40:00,8971,9,St Kilda,Melbourne,15,2022-01-25 11:05:42,0,11,100,11,15,Round 14,10,1278225600,Docklands,St Kilda,65,14,2010,0,100,Full Time,2010
4.0,2010-07-09 19:40:00,+10:00,2010-07-09 20:10:00,8972,16,Port Adelaide,Collingwood,12,2022-01-25 11:05:42,0,9,100,4,13,Round 15,7,1278670200,Football Park,Collingwood,105,15,2010,0,79,Full Time,2010
1.0,2010-07-10 11:10:00,+10:00,2010-07-10 13:10:00,8974,17,West Coast,Adelaide,14,2022-01-25 11:05:42,0,15,100,1,17,Round 15,11,1278731400,Subiaco,Adelaide,117,15,2010,0,95,Full Time,2010
